IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
198.41.208.68,4,4,0.00,123.16,18.11
188.114.97.15,4,4,0.00,237.11,17.31
172.66.45.11,4,4,0.00,230.13,16.78
198.41.212.17,4,4,0.00,117.17,16.76
198.41.209.126,4,4,0.00,117.98,16.21
198.41.220.211,4,4,0.00,113.59,5.30
198.41.221.240,4,4,0.00,112.69,4.99
104.24.63.17,4,4,0.00,219.25,0.29
172.65.250.246,4,4,0.00,233.09,0.00
172.65.39.31,4,4,0.00,234.76,0.00
